"@timestamp",message,hostname
"Aug 13, 2025 @ 15:49:37.658","{""message_type"": ""conveyor_index_motion_started"", ""event_time"": 1755114577.6580744, ""index_zone"": 0}","singulation-conveyor-cd76fcc68-h5vhk"
"Aug 13, 2025 @ 15:49:37.667","[Index Zone 0] Invalid transition from MOTION_STARTED on message conveyor_index_motion_started","singulation-conveyor-cd76fcc68-h5vhk"
"Aug 13, 2025 @ 15:49:37.669","[Index Zone 0] Invalid transition from MOTION_STARTED on message conveyor_index_motion_started","supervisor-69f9d4df64-jmbwl"
"Aug 13, 2025 @ 15:49:37.669","[Index Zone 0] Invalid transition from MOTION_STARTED on message conveyor_index_motion_started","singulation-tote-scanner-5885f9dc8-q8nh7"
"Aug 13, 2025 @ 15:49:37.670","[Index Zone 0] Invalid transition from MOTION_STARTED on message conveyor_index_motion_started","supervisor-69f9d4df64-jmbwl"
"Aug 13, 2025 @ 15:49:37.670","Skipping BG18007 - box ready | chute ready | box conveyor not ready | not blocked by dump | queueable","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.670","Skipping BG18073 - box ready | chute ready | box conveyor not ready | not blocked by dump | queueable","shuttle-b-5749fb957d-sghfv"
"Aug 13, 2025 @ 15:49:37.672","[Index Zone 0] Invalid transition from MOTION_STARTED on message conveyor_index_motion_started","pickapp-5bd5475c6c-lnkn6"
"Aug 13, 2025 @ 15:49:37.830","{""message_type"": ""module_update_health"", ""event_time"": 1755114577.8303406, ""module_id"": ""SingulationApplication:RPS00"", ""health_characteristics"": {""rois_in_collision"": [], ""blower"": {""overtemp"": false, ""faulted"": false, ""breaker_tripped"": false}, ""current_gripper_cup"": ""medium_cup""}}","health-server-5f65d9fd9d-jxp46"
"Aug 13, 2025 @ 15:49:38.165","Using earliest frame timestamp 2025-08-13 19:39:27.632000 to query events","pick-video-extractor-top-bb7c6ddbc-hvvnl"
